Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
86,0.00010000000002907683,3.375077994860476e-14,-1.2789769243681803e-13,0.0,0.0,0.0,-21.4711,-27.66439999999934,-9.999999995358166e-05,5.400124791776761e-13,36.30289999999998,-19.478999999999964,28.76050000000003,-49.13550000000029,45.58439999999993,-3.551100000000588
87,9.999999996912479e-05,-5.861977570020827e-14,-9.999999982923669e-05,0.0,0.0,0.0,-24.536599999999947,-27.46829999999901,-1.5987211554602254e-14,-9.999999993226538e-05,35.18350000000017,-20.8964,30.122799999999916,-52.00499999999871,44.409900000000206,-7.595099999998737
88,0.0001000000000139778,-9.999999999621423e-05,9.999999992693631e-05,0.0,0.0,0.0,-21.248600000000067,-18.129800000001158,-5.329070518200751e-15,-5.400124791776761e-13,27.131200000000078,-21.009800000000006,29.531699999999933,-39.37830000000137,35.65310000000012,-3.725200000001479
89,-6.217248937900877e-15,9.99999999811152e-05,-7.105427357601002e-15,0.0,0.0,0.0,-21.270299999999928,-20.56100000000001,1.7763568394002505e-15,2.7000623958883807e-13,27.338400000000043,-19.710499999999968,29.39269999999997,-41.83119999999953,37.020600000000044,-4.810599999999937
90,8.881784197001252e-15,7.283063041541027e-14,0.0,0.0,0.0,0.0,-18.820099999999993,-23.725899999999083,-3.552713678800501e-15,1.8474111129762605e-13,28.99959999999995,-20.220799999999997,30.153499999999948,-42.545999999999154,38.932300000000126,-3.6136999999994828
91,0.00010000000003529408,1.3145040611561853e-13,1.8118839761882555e-13,0.0,0.0,0.0,-21.427300000000056,-19.46650000000063,-2.3092638912203256e-14,9.999999990384367e-05,29.77050000000008,-20.02230000000004,33.23640000000005,-40.89360000000017,42.98459999999998,2.090999999999802
92,-2.3092638912203256e-14,-1.9539925233402755e-14,5.861977570020827e-14,0.0,0.0,0.0,-22.51010000000009,-13.474199999999545,-1.2434497875801753e-14,4.263256414560601e-14,26.51470000000008,-19.43649999999999,28.849099999999922,-35.98430000000016,35.92730000000012,-0.05700000000004479
93,9.999999998289155e-05,-1.0480505352461478e-13,0.0001000000000095369,0.0,0.0,0.0,-22.83370000000002,-14.79010000000066,1.1546319456101628e-14,-8.526512829121202e-14,25.12730000000014,-20.334200000000063,29.92870000000001,-37.62360000000024,34.7218000000002,-2.9018000000000512
94,-0.00010000000002818865,-9.999999997845066e-05,-1.4210854715202004e-13,0.0,0.0,0.0,-23.379099999999966,-22.27930000000024,-2.1316282072803006e-14,-4.263256414560601e-14,29.9137,-20.475999999999885,31.978699999999996,-45.65860000000167,41.416399999999996,-4.242200000001219
95,-0.00010000000000331966,-2.3092638912203256e-14,-1.5987211554602254e-14,0.0,0.0,0.0,-20.688299999999945,-26.9305000000004,-1.5987211554602254e-14,-0.0001000000003017476,39.33720000000003,-20.49020000000011,29.582700000000017,-47.61900000000053,48.42969999999993,0.8106999999994002
