Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
43,9.99999999891088e-05,-9.237055564881302e-14,1.4210854715202004e-14,0.0,0.0,0.0,-27.522199999999973,-41.713599999999914,1.7763568394002505e-15,1.1368683772161603e-13,53.882900000000156,-5.638895999999997,-69.23569999999947,48.244004000000146,-20.99169599999911
44,3.197442310920451e-14,-7.815970093361102e-14,-1.0658141036401503e-14,0.0,0.0,0.0,-28.562899999999992,-29.35179999999997,-9.999999995891073e-05,-0.00010000000048648872,48.236799999999974,-5.349800160000005,-57.91490000000044,42.88699983999989,-15.027900160000343
45,-1.2434497875801753e-14,-4.263256414560601e-14,-9.999999999266151e-05,0.0,0.0,0.0,-31.973799999999937,-31.512700000000407,-1.2434497875801753e-14,-0.00010000000037280188,45.844700000000074,-5.22910512,-63.48670000000138,40.6155948800001,-22.871105120001943
46,-1.0658141036401503e-14,-6.039613253960852e-14,7.105427357601002e-14,0.0,0.0,0.0,-28.095099999999967,-30.68070000000067,8.881784197001252e-15,5.115907697472721e-13,50.72779999999993,-5.614055279999999,-58.77579999999932,45.113744719999744,-13.662055279999109
47,-1.7763568394002505e-15,-4.263256414560601e-14,9.99999999642398e-05,0.0,0.0,0.0,-29.120099999999933,-33.36160000000105,2.1316282072803006e-14,6.252776074688882e-13,48.573499999999996,-5.765212080000006,-62.481600000001265,42.80828791999997,-19.673312080001295
48,1.4210854715202004e-14,7.105427357601002e-15,5.3290705182007514e-14,0.0,0.0,0.0,-26.44930000000001,-38.20200000000091,1.5987211554602254e-14,-1.1368683772161603e-13,53.82600000000003,-5.409174240000002,-64.65130000000138,48.416825760000066,-16.234474240001106
49,3.552713678800501e-15,4.263256414560601e-14,9.237055564881302e-14,0.0,0.0,0.0,-20.857499999999987,-37.57460000000077,-1.7763568394002505e-14,0.0001000000001454282,52.001099999999994,-5.565091679999995,-58.43199999999982,46.43600831999993,-11.99599167999989
50,-9.99999999891088e-05,1.4921397450962104e-13,2.1316282072803006e-14,0.0,0.0,0.0,-27.576800000000148,-40.8926,2.4868995751603507e-14,-5.684341886080802e-14,48.7619,-5.951332079999999,-68.46950000000041,42.81056791999997,-25.65893207999997
51,0.00010000000003707044,-2.842170943040401e-14,-3.552713678800501e-15,0.0,0.0,0.0,-25.537699999999955,-37.842700000000164,8.881784197001252e-15,0.00010000000008858478,51.19190000000015,-5.672833920000005,-63.380200000000144,45.51906608000009,-17.861133919999617
52,5.329070518200751e-15,-2.4868995751603507e-14,4.263256414560601e-14,0.0,0.0,0.0,-26.790800000000026,-41.07889999999932,0.00010000000000864873,-9.99999995201506e-05,50.34659999999988,-5.665453919999996,-67.8697,44.68114607999997,-23.188553919999805
53,-1.7763568394002505e-15,-2.842170943040401e-14,9.999999995358166e-05,0.0,0.0,0.0,-29.65490000000001,-24.278599999999884,-1.0658141036401503e-14,-4.547473508864641e-13,40.945200000000185,-5.035327919999996,-53.933400000000006,35.909872080000355,-18.02352791999988
54,-1.9539925233402755e-14,-9.999999990739639e-05,2.842170943040401e-14,0.0,0.0,0.0,-29.06369999999998,-26.376799999999875,-3.019806626980426e-14,-1.7053025658242404e-13,41.32630000000012,-5.4884807999999925,-55.44059999999908,35.837819200000204,-19.602780799998868
55,-2.4868995751603507e-14,6.039613253960852e-14,-4.973799150320701e-14,0.0,0.0,0.0,-28.701500000000024,-33.79359999999872,-9.999999999443787e-05,-4.547473508864641e-13,45.209100000000056,-5.700477599999999,-62.495199999999556,39.50862239999997,-22.986577599999578
56,-8.881784197001252e-15,-9.999999993937081e-05,9.999999998555609e-05,0.0,0.0,0.0,-24.895500000000006,-27.16520000000058,-9.999999998377973e-05,-1.1368683772161603e-13,37.691899999999904,-4.774519439999999,-52.06080000000074,32.91738055999993,-19.143419440001054
57,1.0658141036401503e-14,-2.842170943040401e-14,-6.750155989720952e-14,0.0,0.0,0.0,-33.07540000000005,-33.73360000000018,-1.5987211554602254e-14,2.2737367544323206e-13,47.42549999999984,-5.751087839999992,-66.80899999999971,41.674412159999804,-25.134587839999682
58,2.6645352591003757e-14,-1.0658141036401503e-13,0.00010000000002818865,0.0,0.0,0.0,-34.61379999999998,-21.66399999999969,-1.4210854715202004e-14,-9.99999995201506e-05,37.88330000000019,-5.292930959999996,-56.277799999998194,32.59036904000014,-23.68743095999851
59,-1.7763568394002505e-14,9.999999999976694e-05,-8.171241461241152e-14,0.0,0.0,0.0,-32.85099999999998,-38.85039999999864,3.907985046680551e-14,5.115907697472721e-13,54.007899999999886,-5.454587519999999,-71.70129999999824,48.55331247999976,-23.147987519998253
60,0.0,1.3855583347321954e-13,-6.039613253960852e-14,0.0,0.0,0.0,-27.107100000000088,-33.28369999999951,-1.4210854715202004e-14,-4.547473508864641e-13,46.33630000000001,-5.0836939200000035,-60.39080000000024,41.25260608000015,-19.13819392000056
61,4.263256414560601e-14,-1.1013412404281553e-13,9.99999999642398e-05,0.0,0.0,0.0,-27.353099999999934,-38.38579999999992,3.552713678800501e-15,5.684341886080802e-14,52.40209999999996,-5.289328799999996,-65.73880000000065,47.11277120000015,-18.626028800000284
62,1.2434497875801753e-14,-2.0250467969162855e-13,1.0658141036401503e-14,0.0,0.0,0.0,-29.93199999999999,-40.331800000000456,-8.881784197001252e-15,-1.7053025658242404e-13,45.83080000000005,-5.782403520000003,-70.26380000000165,40.048396480000164,-30.2154035200017
63,5.329070518200751e-15,0.00010000000001042508,-9.999999996068709e-05,0.0,0.0,0.0,-26.523199999999964,-28.949599999998938,9.999999995358166e-05,-5.684341886080802e-14,46.2155,-5.321731679999995,-55.4726999999977,40.893768320000035,-14.57893167999768
64,5.329070518200751e-15,-1.4210854715202004e-14,-2.4868995751603507e-14,0.0,0.0,0.0,-30.16380000000006,-18.91539999999894,9.999999998022702e-05,3.979039320256561e-13,34.56399999999984,-5.090871599999996,-49.07909999999893,29.47312839999986,-19.60597159999932
65,1.7763568394002505e-15,3.907985046680551e-14,0.00010000000002818865,0.0,0.0,0.0,-26.87329999999994,-27.709099999999424,2.4868995751603507e-14,7.389644451905042e-13,45.23839999999997,-5.0136429599999985,-54.582299999998014,40.22475704000004,-14.357542959997772
66,-1.7763568394002505e-15,-1.4566126083082054e-13,1.7763568394002505e-14,0.0,0.0,0.0,-30.36819999999993,-32.129399999999066,-5.329070518200751e-15,2.2737367544323206e-13,43.21020000000009,-5.617685520000005,-62.49759999999924,37.59251448000015,-24.905085519999318
67,3.552713678800501e-15,3.552713678800501e-14,3.552713678800501e-15,0.0,0.0,0.0,-18.108299999999996,-37.63690000000064,1.7763568394002505e-15,3.979039320256561e-13,48.98960000000013,-5.414675760000001,-55.74519999999933,43.5749242400001,-12.17027575999876
68,-5.1514348342607263e-14,9.999999996068709e-05,9.999999994292352e-05,0.0,0.0,0.0,-27.664799999999925,-21.865900000000735,-9.999999996956888e-05,3.410605131648481e-13,39.01389999999998,-5.140272240000001,-49.530599999999595,33.87362776000006,-15.65697223999976
69,-3.197442310920451e-14,7.105427357601002e-15,2.4868995751603507e-14,0.0,0.0,0.0,-23.970499999999966,-35.37550000000148,-5.329070518200751e-15,-1.1368683772161603e-13,52.50950000000002,-5.235858720000004,-59.34600000000225,47.27364127999989,-12.07235872000166
70,-1.0658141036401503e-14,4.973799150320701e-14,1.7763568394002505e-14,0.0,0.0,0.0,-29.09480000000005,-20.406100000000052,-2.1316282072803006e-14,0.00010000000054333213,39.741099999999975,-5.36899823999999,-49.500800000000055,34.37210176000001,-15.128698240000034
71,-3.375077994860476e-14,9.237055564881302e-14,4.618527782440651e-14,0.0,0.0,0.0,-29.775299999999937,-26.4243000000004,-9.999999998200337e-05,6.252776074688882e-13,41.846800000000066,-5.0427007199999965,-56.19969999999924,36.80409928000019,-19.395600719999067
72,2.842170943040401e-14,-1.0302869668521453e-13,9.999999995002895e-05,0.0,0.0,0.0,-29.180200000000085,-16.327400000000765,-9.999999999088516e-05,-2.2737367544323206e-13,32.00929999999997,-5.40074016,-45.50760000000108,26.608559840000026,-18.89904016000105
73,-5.329070518200751e-15,3.552713678800501e-14,-5.684341886080802e-14,0.0,0.0,0.0,-27.79410000000002,-21.113100000000316,1.5987211554602254e-14,-4.547473508864641e-13,40.10480000000001,-5.152648319999997,-48.907200000000216,34.95215167999996,-13.955048319999577
74,-9.999999998200337e-05,1.1723955140041653e-13,-3.197442310920451e-14,0.0,0.0,0.0,-23.689099999999993,-32.80530000000134,1.9539925233402755e-14,2.2737367544323206e-13,38.9775000000001,-5.233913999999995,-56.49450000000135,33.743586000000064,-22.750914000001046
75,5.329070518200751e-15,4.618527782440651e-14,0.00010000000003884679,0.0,0.0,0.0,-28.42150000000009,-30.766399999999976,2.842170943040401e-14,-3.410605131648481e-13,43.561399999999985,-5.410635120000001,-59.18780000000075,38.150764879999926,-21.037035120000354
76,0.00010000000001930687,3.197442310920451e-14,5.3290705182007514e-14,0.0,0.0,0.0,-27.207700000000013,-38.70630000000121,-1.7763568394002505e-14,0.0,51.35349999999981,-5.644655280000008,-65.91390000000081,45.708844719999846,-20.205055280001176
